fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,type,alcohol_density,non-free sulfur dioxide,total_acidity,acidity_ratio,alcohol_pH_ratio,alcohol_sulfur_dioxide_ratio
7.5,0.63,0.12,5.1,0.111,50.0,110.0,0.9983,3.26,0.77,9.4,5,red,9.38402,60.0,8.13,0.9225092250922509,2.883435582822086,0.08545454545454546
7.8,0.59,0.18,2.3,0.076,17.0,54.0,0.9975,3.43,0.59,10.0,5,red,9.975000000000001,37.0,8.39,0.9296781883194278,2.9154518950437316,0.18518518518518517
7.3,0.39,0.31,2.4,0.074,9.0,46.0,0.9962,3.41,0.54,9.4,6,red,9.36428,37.0,7.6899999999999995,0.9492847854356308,2.756598240469208,0.20434782608695654
8.8,0.4,0.4,2.2,0.079,19.0,52.0,0.998,3.44,0.64,9.2,5,red,9.1816,33.0,9.200000000000001,0.9565217391304347,2.6744186046511627,0.1769230769230769
7.7,0.69,0.49,1.8,0.115,20.0,112.0,0.9968,3.21,0.71,9.3,5,red,9.270240000000001,92.0,8.39,0.9177592371871275,2.897196261682243,0.0830357142857143
7.5,0.52,0.16,1.9,0.085,12.0,35.0,0.9968,3.38,0.62,9.5,7,red,9.4696,23.0,8.02,0.9351620947630923,2.8106508875739644,0.2714285714285714
7.0,0.735,0.05,2.0,0.081,13.0,54.0,0.9966,3.39,0.57,9.8,5,red,9.766680000000001,41.0,7.735,0.9049773755656109,2.8908554572271385,0.1814814814814815
7.2,0.725,0.05,4.65,0.086,4.0,11.0,0.9962,3.41,0.39,10.9,5,red,10.85858,7.0,7.925,0.9085173501577287,3.196480938416422,0.990909090909091
7.2,0.725,0.05,4.65,0.086,4.0,11.0,0.9962,3.41,0.39,10.9,5,red,10.85858,7.0,7.925,0.9085173501577287,3.196480938416422,0.990909090909091
7.5,0.52,0.11,1.5,0.079,11.0,39.0,0.9968,3.42,0.58,9.6,5,red,9.56928,28.0,8.02,0.9351620947630923,2.807017543859649,0.24615384615384614
6.6,0.705,0.07,1.6,0.076,6.0,15.0,0.9962,3.44,0.58,10.7,5,red,10.659339999999998,9.0,7.305,0.9034907597535934,3.1104651162790695,0.7133333333333333
9.3,0.32,0.57,2.0,0.074,27.0,65.0,0.9969,3.28,0.79,10.7,5,red,10.66683,38.0,9.620000000000001,0.9667359667359667,3.2621951219512195,0.1646153846153846
8.0,0.705,0.05,1.9,0.074,8.0,19.0,0.9962,3.34,0.95,10.5,6,red,10.4601,11.0,8.705,0.9190120620333142,3.1437125748502996,0.5526315789473685
7.7,0.63,0.08,1.9,0.076,15.0,27.0,0.9967,3.32,0.54,9.5,6,red,9.46865,12.0,8.33,0.9243697478991597,2.86144578313253,0.35185185185185186
7.7,0.67,0.23,2.1,0.088,17.0,96.0,0.9962,3.32,0.48,9.5,5,red,9.463899999999999,79.0,8.370000000000001,0.9199522102747908,2.86144578313253,0.09895833333333333
7.7,0.69,0.22,1.9,0.084,18.0,94.0,0.9961,3.31,0.48,9.5,5,red,9.46295,76.0,8.39,0.9177592371871275,2.8700906344410875,0.10106382978723404
8.3,0.675,0.26,2.1,0.084,11.0,43.0,0.9976,3.31,0.53,9.2,4,red,9.17792,32.0,8.975000000000001,0.9247910863509748,2.7794561933534743,0.21395348837209302
9.7,0.32,0.54,2.5,0.094,28.0,83.0,0.9984,3.28,0.82,9.6,5,red,9.584639999999998,55.0,10.02,0.968063872255489,2.926829268292683,0.11566265060240963
8.8,0.41,0.64,2.2,0.093,9.0,42.0,0.9986,3.54,0.66,10.5,5,red,10.4853,33.0,9.21,0.9554831704668838,2.9661016949152543,0.25
8.8,0.41,0.64,2.2,0.093,9.0,42.0,0.9986,3.54,0.66,10.5,5,red,10.4853,33.0,9.21,0.9554831704668838,2.9661016949152543,0.25
6.8,0.785,0.0,2.4,0.104,14.0,30.0,0.9966,3.52,0.55,10.7,6,red,10.66362,16.0,7.585,0.8965062623599209,3.039772727272727,0.35666666666666663
6.7,0.75,0.12,2.0,0.086,12.0,80.0,0.9958,3.38,0.52,10.1,5,red,10.05758,68.0,7.45,0.8993288590604027,2.9881656804733727,0.12625
8.3,0.625,0.2,1.5,0.08,27.0,119.0,0.9972,3.16,1.12,9.1,4,red,9.07452,92.0,8.925,0.9299719887955182,2.8797468354430378,0.07647058823529411
6.2,0.45,0.2,1.6,0.069,3.0,15.0,0.9958,3.41,0.56,9.2,5,red,9.16136,12.0,6.65,0.9323308270676691,2.697947214076246,0.6133333333333333
7.8,0.43,0.7,1.9,0.464,22.0,67.0,0.9974,3.13,1.28,9.4,5,red,9.37556,45.0,8.23,0.9477521263669502,3.003194888178914,0.14029850746268657
7.4,0.5,0.47,2.0,0.086,21.0,73.0,0.997,3.36,0.57,9.1,5,red,9.0727,52.0,7.9,0.9367088607594937,2.7083333333333335,0.12465753424657534
7.3,0.67,0.26,1.8,0.401,16.0,51.0,0.9969,3.16,1.14,9.4,5,red,9.37086,35.0,7.97,0.9159347553324969,2.9746835443037973,0.1843137254901961
6.3,0.3,0.48,1.8,0.069,18.0,61.0,0.9959,3.44,0.78,10.3,6,red,10.25777,43.0,6.6,0.9545454545454546,2.9941860465116283,0.16885245901639345
6.9,0.55,0.15,2.2,0.076,19.0,40.0,0.9961,3.41,0.59,10.1,5,red,10.060609999999999,21.0,7.45,0.9261744966442953,2.9618768328445744,0.2525
8.6,0.49,0.28,1.9,0.11,20.0,136.0,0.9972,2.93,1.95,9.9,6,red,9.87228,116.0,9.09,0.946094609460946,3.378839590443686,0.07279411764705883
7.7,0.49,0.26,1.9,0.062,9.0,31.0,0.9966,3.39,0.64,9.6,5,red,9.56736,22.0,8.19,0.9401709401709403,2.831858407079646,0.3096774193548387
9.3,0.39,0.44,2.1,0.107,34.0,125.0,0.9978,3.14,1.22,9.5,5,red,9.4791,91.0,9.690000000000001,0.9597523219814241,3.0254777070063694,0.076
7.0,0.62,0.08,1.8,0.076,8.0,24.0,0.9978,3.48,0.53,9.0,5,red,8.9802,16.0,7.62,0.9186351706036745,2.586206896551724,0.375
7.9,0.52,0.26,1.9,0.079,42.0,140.0,0.9964,3.23,0.54,9.5,5,red,9.4658,98.0,8.42,0.9382422802850356,2.9411764705882355,0.06785714285714285
8.6,0.49,0.28,1.9,0.11,20.0,136.0,0.9972,2.93,1.95,9.9,6,red,9.87228,116.0,9.09,0.946094609460946,3.378839590443686,0.07279411764705883
8.6,0.49,0.29,2.0,0.11,19.0,133.0,0.9972,2.93,1.98,9.8,5,red,9.77256,114.0,9.09,0.946094609460946,3.3447098976109215,0.0736842105263158
7.7,0.49,0.26,1.9,0.062,9.0,31.0,0.9966,3.39,0.64,9.6,5,red,9.56736,22.0,8.19,0.9401709401709403,2.831858407079646,0.3096774193548387
5.0,1.02,0.04,1.4,0.045,41.0,85.0,0.9938,3.75,0.48,10.5,4,red,10.4349,44.0,6.02,0.8305647840531563,2.8,0.12352941176470589
4.7,0.6,0.17,2.3,0.058,17.0,106.0,0.9932,3.85,0.6,12.9,6,red,12.81228,89.0,5.3,0.8867924528301887,3.3506493506493507,0.12169811320754717
6.8,0.775,0.0,3.0,0.102,8.0,23.0,0.9965,3.45,0.56,10.7,5,red,10.66255,15.0,7.575,0.8976897689768977,3.1014492753623184,0.4652173913043478
7.0,0.5,0.25,2.0,0.07,3.0,22.0,0.9963,3.25,0.63,9.2,5,red,9.165959999999998,19.0,7.5,0.9333333333333333,2.8307692307692305,0.41818181818181815
7.6,0.9,0.06,2.5,0.079,5.0,10.0,0.9967,3.39,0.56,9.8,5,red,9.767660000000001,5.0,8.5,0.8941176470588235,2.8908554572271385,0.9800000000000001
8.1,0.545,0.18,1.9,0.08,13.0,35.0,0.9972,3.3,0.59,9.0,6,red,8.9748,22.0,8.645,0.9369577790630422,2.7272727272727275,0.2571428571428571
8.3,0.61,0.3,2.1,0.084,11.0,50.0,0.9972,3.4,0.61,10.2,6,red,10.171439999999999,39.0,8.91,0.931537598204265,3.0,0.204
7.8,0.5,0.3,1.9,0.075,8.0,22.0,0.9959,3.31,0.56,10.4,6,red,10.35736,14.0,8.3,0.9397590361445782,3.1419939577039275,0.4727272727272727
8.1,0.545,0.18,1.9,0.08,13.0,35.0,0.9972,3.3,0.59,9.0,6,red,8.9748,22.0,8.645,0.9369577790630422,2.7272727272727275,0.2571428571428571
8.1,0.575,0.22,2.1,0.077,12.0,65.0,0.9967,3.29,0.51,9.2,5,red,9.16964,53.0,8.674999999999999,0.9337175792507205,2.796352583586626,0.14153846153846153
7.2,0.49,0.24,2.2,0.07,5.0,36.0,0.996,3.33,0.48,9.4,5,red,9.362400000000001,31.0,7.69,0.9362808842652796,2.8228228228228227,0.2611111111111111
8.1,0.575,0.22,2.1,0.077,12.0,65.0,0.9967,3.29,0.51,9.2,5,red,9.16964,53.0,8.674999999999999,0.9337175792507205,2.796352583586626,0.14153846153846153
7.8,0.41,0.68,1.7,0.467,18.0,69.0,0.9973,3.08,1.31,9.3,5,red,9.274890000000001,51.0,8.209999999999999,0.9500609013398296,3.0194805194805197,0.13478260869565217
6.2,0.63,0.31,1.7,0.088,15.0,64.0,0.9969,3.46,0.79,9.3,5,red,9.271170000000001,49.0,6.83,0.9077598828696926,2.687861271676301,0.1453125
8.0,0.33,0.53,2.5,0.091,18.0,80.0,0.9976,3.37,0.8,9.6,6,red,9.57696,62.0,8.33,0.9603841536614646,2.8486646884272995,0.12
8.1,0.785,0.52,2.0,0.122,37.0,153.0,0.9969,3.21,0.69,9.3,5,red,9.271170000000001,116.0,8.885,0.911648846370287,2.897196261682243,0.0607843137254902
7.8,0.56,0.19,1.8,0.104,12.0,47.0,0.9964,3.19,0.93,9.5,5,red,9.4658,35.0,8.36,0.9330143540669857,2.9780564263322886,0.20212765957446807
8.4,0.62,0.09,2.2,0.084,11.0,108.0,0.9964,3.15,0.66,9.8,5,red,9.76472,97.0,9.02,0.9312638580931265,3.1111111111111116,0.09074074074074075
8.4,0.6,0.1,2.2,0.085,14.0,111.0,0.9964,3.15,0.66,9.8,5,red,9.76472,97.0,9.0,0.9333333333333333,3.1111111111111116,0.08828828828828829
10.1,0.31,0.44,2.3,0.08,22.0,46.0,0.9988,3.32,0.67,9.7,6,red,9.68836,24.0,10.41,0.9702209414024976,2.9216867469879517,0.21086956521739128
7.8,0.56,0.19,1.8,0.104,12.0,47.0,0.9964,3.19,0.93,9.5,5,red,9.4658,35.0,8.36,0.9330143540669857,2.9780564263322886,0.20212765957446807
9.4,0.4,0.31,2.2,0.09,13.0,62.0,0.9966,3.07,0.63,10.5,6,red,10.4643,49.0,9.8,0.9591836734693877,3.420195439739414,0.1693548387096774
8.3,0.54,0.28,1.9,0.077,11.0,40.0,0.9978,3.39,0.61,10.0,6,red,9.978,29.0,8.84,0.9389140271493214,2.949852507374631,0.25
7.8,0.56,0.12,2.0,0.082,7.0,28.0,0.997,3.37,0.5,9.4,6,red,9.3718,21.0,8.36,0.9330143540669857,2.7893175074183976,0.33571428571428574
8.8,0.55,0.04,2.2,0.119,14.0,56.0,0.9962,3.21,0.6,10.9,6,red,10.85858,42.0,9.350000000000001,0.9411764705882353,3.3956386292834893,0.19464285714285715
7.0,0.69,0.08,1.8,0.097,22.0,89.0,0.9959,3.34,0.54,9.2,6,red,9.162279999999999,67.0,7.6899999999999995,0.9102730819245775,2.754491017964072,0.10337078651685393
7.3,1.07,0.09,1.7,0.178,10.0,89.0,0.9962,3.3,0.57,9.0,5,red,8.9658,79.0,8.37,0.8721624850657109,2.7272727272727275,0.10112359550561797
8.8,0.55,0.04,2.2,0.119,14.0,56.0,0.9962,3.21,0.6,10.9,6,red,10.85858,42.0,9.350000000000001,0.9411764705882353,3.3956386292834893,0.19464285714285715
7.3,0.695,0.0,2.5,0.075,3.0,13.0,0.998,3.49,0.52,9.2,5,red,9.1816,10.0,7.995,0.9130706691682301,2.636103151862464,0.7076923076923076
8.0,0.71,0.0,2.6,0.08,11.0,34.0,0.9976,3.44,0.53,9.5,5,red,9.4772,23.0,8.71,0.9184845005740527,2.761627906976744,0.27941176470588236
7.8,0.5,0.17,1.6,0.082,21.0,102.0,0.996,3.39,0.48,9.5,5,red,9.462,81.0,8.3,0.9397590361445782,2.8023598820058995,0.09313725490196079
9.0,0.62,0.04,1.9,0.146,27.0,90.0,0.9984,3.16,0.7,9.4,5,red,9.38496,63.0,9.62,0.9355509355509356,2.9746835443037973,0.10444444444444445
8.2,1.33,0.0,1.7,0.081,3.0,12.0,0.9964,3.53,0.49,10.9,5,red,10.860759999999999,9.0,9.53,0.8604407135362014,3.087818696883853,0.9083333333333333
8.1,1.33,0.0,1.8,0.082,3.0,12.0,0.9964,3.54,0.48,10.9,5,red,10.860759999999999,9.0,9.43,0.8589607635206786,3.07909604519774,0.9083333333333333
8.0,0.59,0.16,1.8,0.065,3.0,16.0,0.9962,3.42,0.92,10.5,7,red,10.4601,13.0,8.59,0.9313154831199069,3.0701754385964914,0.65625
6.1,0.38,0.15,1.8,0.072,6.0,19.0,0.9955,3.42,0.57,9.4,5,red,9.357700000000001,13.0,6.4799999999999995,0.941358024691358,2.7485380116959064,0.4947368421052632
8.0,0.745,0.56,2.0,0.118,30.0,134.0,0.9968,3.24,0.66,9.4,5,red,9.36992,104.0,8.745,0.9148084619782734,2.9012345679012346,0.07014925373134329
5.6,0.5,0.09,2.3,0.049,17.0,99.0,0.9937,3.63,0.63,13.0,5,red,12.9181,82.0,6.1,0.9180327868852459,3.581267217630854,0.13131313131313133
5.6,0.5,0.09,2.3,0.049,17.0,99.0,0.9937,3.63,0.63,13.0,5,red,12.9181,82.0,6.1,0.9180327868852459,3.581267217630854,0.13131313131313133
6.6,0.5,0.01,1.5,0.06,17.0,26.0,0.9952,3.4,0.58,9.8,6,red,9.75296,9.0,7.1,0.9295774647887324,2.882352941176471,0.37692307692307697
7.9,1.04,0.05,2.2,0.084,13.0,29.0,0.9959,3.22,0.55,9.9,6,red,9.85941,16.0,8.940000000000001,0.8836689038031319,3.0745341614906834,0.3413793103448276
8.4,0.745,0.11,1.9,0.09,16.0,63.0,0.9965,3.19,0.82,9.6,5,red,9.5664,47.0,9.145,0.9185347184253692,3.0094043887147337,0.15238095238095237
8.3,0.715,0.15,1.8,0.089,10.0,52.0,0.9968,3.23,0.77,9.5,5,red,9.4696,42.0,9.015,0.9206877426511371,2.9411764705882355,0.18269230769230768
7.2,0.415,0.36,2.0,0.081,13.0,45.0,0.9972,3.48,0.64,9.2,5,red,9.17424,32.0,7.615,0.9455022980958634,2.64367816091954,0.20444444444444443
7.8,0.56,0.19,2.1,0.081,15.0,105.0,0.9962,3.33,0.54,9.5,5,red,9.463899999999999,90.0,8.36,0.9330143540669857,2.8528528528528527,0.09047619047619047
7.8,0.56,0.19,2.0,0.081,17.0,108.0,0.9962,3.32,0.54,9.5,5,red,9.463899999999999,91.0,8.36,0.9330143540669857,2.86144578313253,0.08796296296296297
8.4,0.745,0.11,1.9,0.09,16.0,63.0,0.9965,3.19,0.82,9.6,5,red,9.5664,47.0,9.145,0.9185347184253692,3.0094043887147337,0.15238095238095237
8.3,0.715,0.15,1.8,0.089,10.0,52.0,0.9968,3.23,0.77,9.5,5,red,9.4696,42.0,9.015,0.9206877426511371,2.9411764705882355,0.18269230769230768
5.2,0.34,0.0,1.8,0.05,27.0,63.0,0.9916,3.68,0.79,14.0,6,red,13.8824,36.0,5.54,0.9386281588447654,3.8043478260869565,0.2222222222222222
6.3,0.39,0.08,1.7,0.066,3.0,20.0,0.9954,3.34,0.58,9.4,5,red,9.35676,17.0,6.6899999999999995,0.9417040358744395,2.81437125748503,0.47000000000000003
5.2,0.34,0.0,1.8,0.05,27.0,63.0,0.9916,3.68,0.79,14.0,6,red,13.8824,36.0,5.54,0.9386281588447654,3.8043478260869565,0.2222222222222222
8.1,0.67,0.55,1.8,0.117,32.0,141.0,0.9968,3.17,0.62,9.4,5,red,9.36992,109.0,8.77,0.9236031927023945,2.965299684542587,0.06666666666666667
5.8,0.68,0.02,1.8,0.087,21.0,94.0,0.9944,3.54,0.52,10.0,5,red,9.943999999999999,73.0,6.4799999999999995,0.8950617283950618,2.824858757062147,0.10638297872340426
7.6,0.49,0.26,1.6,0.236,10.0,88.0,0.9968,3.11,0.8,9.3,5,red,9.270240000000001,78.0,8.09,0.9394313967861557,2.9903536977491965,0.1056818181818182
6.9,0.49,0.1,2.3,0.074,12.0,30.0,0.9959,3.42,0.58,10.2,6,red,10.15818,18.0,7.390000000000001,0.9336941813261164,2.982456140350877,0.33999999999999997
8.2,0.4,0.44,2.8,0.089,11.0,43.0,0.9975,3.53,0.61,10.5,6,red,10.47375,32.0,8.6,0.9534883720930232,2.974504249291785,0.2441860465116279
7.3,0.33,0.47,2.1,0.077,5.0,11.0,0.9958,3.33,0.53,10.3,6,red,10.25674,6.0,7.63,0.9567496723460026,3.0930930930930933,0.9363636363636364
9.2,0.52,1.0,3.4,0.61,32.0,69.0,0.9996,2.74,2.0,9.4,4,red,9.39624,37.0,9.719999999999999,0.9465020576131687,3.4306569343065694,0.13623188405797101
7.5,0.6,0.03,1.8,0.095,25.0,99.0,0.995,3.35,0.54,10.1,5,red,10.0495,74.0,8.1,0.9259259259259259,3.014925373134328,0.10202020202020201
